transaction_id,customer_id,merchant_id,amount,payment_method,status,timestamp
T000001,C0130,M0035,34349.33,CARD,FAILED,2026-08-30 22:06:06.839138
T000002,C0494,M0008,12819.19,WALLET,SUCCESS,2026-07-12 16:17:02.602573
T000003,C0208,M0019,41075.79,UPI,SUCCESS,2026-08-27 20:45:29.337232
T000004,C0303,M0050,38561.11,NET_BANKING,FAILED,2026-07-27 06:45:13.212338
T000005,C0093,M0022,3472.08,NET_BANKING,SUCCESS,2026-07-08 08:45:58.992679
T000006,C0448,M0014,21242.48,UPI,SUCCESS,2026-08-12 09:17:28.855366
T000007,C0464,M0037,19231.48,WALLET,FAILED,2026-07-16 00:59:41.680853
T000008,C0127,M0010,23350.46,WALLET,PENDING,2026-06-10 04:44:40.504001
T000009,C0455,M0040,3004.75,UPI,SUCCESS,2026-08-10 23:28:48.981796
T000010,C0420,M0015,9657.86,NET_BANKING,SUCCESS,2026-08-24 15:16:05.645303
T000011,C0070,M0016,38383.9,WALLET,SUCCESS,2026-07-30 18:34:28.197046
T000012,C0431,M0016,33360.63,WALLET,SUCCESS,2026-07-11 08:24:06.660492
T000013,C0282,M0017,10926.61,UPI,SUCCESS,2026-07-22 01:18:36.665581
T000014,C0280,M0015,46075.62,WALLET,FAILED,2026-07-10 06:08:13.084055
T000015,C0266,M0037,16908.94,WALLET,SUCCESS,2026-07-25 02:46:51.098649
T000016,C0389,M0025,12983.24,UPI,SUCCESS,2026-06-17 04:31:23.790845
T000017,C0470,M0048,26714.64,WALLET,SUCCESS,2026-06-21 19:15:07.105614
T000018,C0148,M0032,36772.21,CARD,SUCCESS,2026-06-17 23:34:49.340497
T000019,C0153,M0039,9669.92,UPI,FAILED,2026-06-20 01:19:12.156786
T000020,C0466,M0013,40974.52,NET_BANKING,SUCCESS,2026-07-11 19:57:44.443881
T000021,C0440,M0016,26249.61,NET_BANKING,SUCCESS,2026-06-21 17:46:47.844281
T000022,C0172,M0016,46880.42,WALLET,SUCCESS,2026-08-22 09:35:43.360143
T000023,C0173,M0008,48735.86,CARD,SUCCESS,2026-06-08 18:17:26.283837
T000024,C0043,M0038,16444.31,WALLET,SUCCESS,2026-07-04 03:02:01.259160
T000025,C0060,M0046,8724.08,WALLET,SUCCESS,2026-07-15 10:06:16.494957
T000026,C0343,M0040,17142.29,NET_BANKING,SUCCESS,2026-06-30 20:46:52.167192
T000027,C0285,M0024,14257.52,NET_BANKING,SUCCESS,2026-07-17 06:55:19.631121
T000028,C0284,M0001,31220.79,NET_BANKING,SUCCESS,2026-06-25 01:29:14.292961
T000029,C0169,M0047,5365.68,CARD,SUCCESS,2026-06-12 14:25:28.182579
T000030,C0228,M0038,825.03,UPI,SUCCESS,2026-08-01 00:05:28.488447
T000031,C0365,M0023,46137.86,UPI,SUCCESS,2026-07-12 08:12:08.994577
T000032,C0448,M0042,4804.96,CARD,SUCCESS,2026-06-15 08:13:12.730611
T000033,C0133,M0007,4769.35,CARD,SUCCESS,2026-06-14 03:16:37.334544
T000034,C0456,M0015,34704.38,UPI,SUCCESS,2026-06-23 20:15:17.255556
T000035,C0381,M0038,16484.14,UPI,SUCCESS,2026-07-03 05:44:43.650909
T000036,C0154,M0045,46291.47,CARD,SUCCESS,2026-06-27 19:12:36.503125
T000037,C0186,M0015,25269.18,NET_BANKING,SUCCESS,2026-08-03 17:51:30.047557
T000038,C0218,M0009,42741.72,CARD,SUCCESS,2026-07-08 01:36:05.718560
T000039,C0486,M0006,30327.69,WALLET,SUCCESS,2026-07-05 11:38:42.395627
T000040,C0281,M0041,10990.48,CARD,SUCCESS,2026-08-01 22:10:45.333171
T000041,C0363,M0001,14052.45,CARD,SUCCESS,2026-08-25 01:44:23.265752
T000042,C0036,M0011,21729.8,NET_BANKING,PENDING,2026-08-15 20:34:21.659835
T000043,C0346,M0037,1448.79,UPI,SUCCESS,2026-08-30 11:35:32.544249
T000044,C0090,M0008,25310.72,NET_BANKING,SUCCESS,2026-08-13 16:02:26.705400
T000045,C0136,M0007,13871.5,WALLET,PENDING,2026-07-02 18:15:25.647467
T000046,C0350,M0011,33544.17,WALLET,SUCCESS,2026-08-25 23:38:27.534760
T000047,C0317,M0026,45108.01,CARD,SUCCESS,2026-09-02 09:02:08.022429
T000048,C0237,M0020,41815.22,CARD,SUCCESS,2026-07-27 08:01:48.055936
T000049,C0355,M0025,41376.28,NET_BANKING,SUCCESS,2026-08-20 04:03:42.212352
T000050,C0097,M0023,17509.39,WALLET,SUCCESS,2026-08-23 01:15:35.652951
T000051,C0277,M0049,38423.79,WALLET,SUCCESS,2026-06-21 10:03:26.012173
T000052,C0431,M0013,3985.05,NET_BANKING,FAILED,2026-08-15 00:33:08.155833
T000053,C0470,M0049,43655.05,UPI,PENDING,2026-08-31 15:00:26.009429
T000054,C0327,M0028,19295.47,WALLET,SUCCESS,2026-08-31 18:49:35.903705
T000055,C0045,M0033,37544.81,UPI,FAILED,2026-07-11 06:46:35.960535
T000056,C0412,M0043,2582.36,CARD,SUCCESS,2026-06-24 07:36:01.185269
T000057,C0235,M0013,2370.06,WALLET,SUCCESS,2026-07-24 04:44:04.775364
T000058,C0456,M0033,9521.65,NET_BANKING,SUCCESS,2026-06-23 13:27:23.827004
T000059,C0237,M0022,23949.75,UPI,SUCCESS,2026-08-22 13:13:27.389562
T000060,C0112,M0004,16479.12,WALLET,FAILED,2026-06-20 13:47:06.980785
T000061,C0405,M0042,30204.18,CARD,SUCCESS,2026-08-24 21:05:01.502082
T000062,C0093,M0010,8208.12,UPI,SUCCESS,2026-08-20 03:12:21.863807
T000063,C0468,M0040,35981.59,WALLET,PENDING,2026-06-12 20:53:13.933323
T000064,C0427,M0041,15297.63,NET_BANKING,SUCCESS,2026-07-25 13:07:41.773997
T000065,C0403,M0029,17848.29,CARD,FAILED,2026-08-26 03:55:33.390369
T000066,C0198,M0016,49728.04,NET_BANKING,SUCCESS,2026-06-28 05:38:38.153577
T000067,C0452,M0020,36746.65,UPI,SUCCESS,2026-09-03 02:40:49.515061
T000068,C0311,M0042,21211.43,UPI,FAILED,2026-07-28 13:44:12.640791
T000069,C0339,M0022,21164.47,CARD,SUCCESS,2026-06-27 09:34:38.236476
T000070,C0227,M0048,8649.35,WALLET,SUCCESS,2026-07-20 16:29:30.936991
T000071,C0170,M0031,39094.05,NET_BANKING,SUCCESS,2026-07-19 12:32:19.351527
T000072,C0028,M0006,6101.42,WALLET,SUCCESS,2026-07-31 01:59:48.914905
T000073,C0062,M0018,11786.12,WALLET,SUCCESS,2026-07-03 09:01:53.502773
T000074,C0115,M0034,29351.91,NET_BANKING,SUCCESS,2026-07-27 05:00:15.253708
