merchant_id,total_transactions,total_revenue,avg_transaction_amount,merchant_name,category
M0001,189,4608742.35,24384.880158730157,FunZone 1,Entertainment
M0002,208,5009006.19,24081.760528846156,QuickCart 2,E-commerce
M0003,193,5176848.53,26823.049378238342,QuickCart 3,E-commerce
M0004,199,5216875.06,26215.45256281407,FunZone 4,Entertainment
M0005,170,4116347.4899999998,24213.808764705882,MediCare 5,Healthcare
M0006,210,5249164.54,24996.02161904762,QuickCart 6,E-commerce
M0007,177,4200858.84,23733.665762711862,QuickCart 7,E-commerce
M0008,185,4609830.64,24918.003459459458,TechMart 8,Electronics
M0009,199,4975023.51,25000.118140703515,QuickCart 9,E-commerce
M0010,213,5292214.24,24846.07624413146,MediCare 10,Healthcare
M0011,187,4538175.59,24268.318663101603,TechMart 11,Electronics
M0012,182,4570014.13,25109.967747252747,FunZone 12,Entertainment
M0013,196,5291680.77,26998.371275510202,TechMart 13,Electronics
M0014,182,4544078.72,24967.465494505494,FoodExpress 14,Food & Dining
M0015,193,4701857.78,24361.957409326427,FunZone 15,Entertainment
M0016,205,5566530.45,27153.807073170734,TechMart 16,Electronics
M0017,177,4576719.6,25857.17288135593,FoodExpress 17,Food & Dining
M0018,193,4744043.32,24580.535336787565,FoodExpress 18,Food & Dining
M0019,173,4415188.55,25521.321098265897,QuickCart 19,E-commerce
M0020,182,4806841.18,26411.215274725273,FunZone 20,Entertainment
M0021,208,5067352.44,24362.271346153848,MediCare 21,Healthcare
M0022,217,5076191.62,23392.588110599077,TravelEase 22,Travel
M0023,199,5330199.55,26784.922361809044,MediCare 23,Healthcare
M0024,186,4241912.77,22805.9826344086,FoodExpress 24,Food & Dining
M0025,191,4669903.88,24449.758534031414,QuickCart 25,E-commerce
M0026,195,4948086.37,25374.801897435897,QuickCart 26,E-commerce
M0027,197,5047106.96,25619.83228426396,FoodExpress 27,Food & Dining
M0028,212,5500491.5,25945.71462264151,TechMart 28,Electronics
M0029,205,4585560.94,22368.589951219514,TravelEase 29,Travel
M0030,198,5038000.69,25444.44792929293,QuickCart 30,Unknown
M0031,197,4829299.12,24514.208730964467,FoodExpress 31,Food & Dining
M0032,185,4690424.33,25353.64502702703,TravelEase 32,Travel
M0033,205,5353630.87,26115.272536585366,TechMart 33,Electronics
M0034,198,4942436.96,24961.802828282827,TechMart 34,Electronics
M0035,179,4721874.87,26379.189217877094,TechMart 35,Electronics
M0036,204,5145415.73,25222.62612745098,FunZone 36,Entertainment
M0037,216,5018950.24,23235.88074074074,FoodExpress 37,Food & Dining
M0038,219,5527155.26,25238.151872146118,FoodExpress 38,Food & Dining
M0039,198,5343512.37,26987.436212121214,MediCare 39,Healthcare
M0040,194,4743311.61,24450.059845360825,MediCare 40,Healthcare
M0041,201,4740336.95,23583.76592039801,QuickCart 41,E-commerce
M0042,219,5322431.9,24303.342009132422,FoodExpress 42,Food & Dining
M0043,191,4641303.72,24300.01947643979,TravelEase 43,Unknown
M0044,212,4940410.45,23303.822877358492,TravelEase 44,Travel
M0045,185,4669031.01,25238.00545945946,MediCare 45,Healthcare
M0046,217,5712369.7,26324.284331797237,FunZone 46,Entertainment
M0047,225,5801414.94,25784.066400000003,FunZone 47,Entertainment
M0048,203,5210538.33,25667.676502463055,FunZone 48,Entertainment
M0049,183,4462255.8,24383.911475409834,TravelEase 49,Travel
M0050,204,5033760.57,24675.296911764708,QuickCart 50,E-commerce
